textbox19,textbox34,ID,textbox30,textbox10,Title,Location,Status,DateInitiated,Initiator,SAPNotificationNr
Unit: 05,[761],274536,1,CIB - C&I UNITS 4 - 6 SECT,C&I CALLED OUT FOR C MILL PA DAMPER NOT DRIVING AND ITS NOT TRIPPED. ,03-05JF02C005 - MILL 5C PA DAMPER 05NM30S001,Submitted,2015-12-06 02:50,Present Vilakazi,23424596
Unit: 05,[761],274765,1,HMDM - HMD MILLS,CALL OUT: S/BY HYDRAULIC TEAM TO TOP MILL E HYDRAULIC TANK - OIL LVL LOW.,03-05NM50 - MILL 5E,Submitted,2015-12-08 20:26,ML Ramonedi,23427772
Unit: 05,[761],274766,2,HMDM - HMD MILLS,"5D  MILL  HYDR  ROCKER  ARM  NR 3 HYD  RAM  LIFTING  ISOL  V/V  IS  LEAKING  VERY,  VERY  BAD",03-05NM50S515 - ROCKER ARM NR 3 HYD RAM LIFTING ISOL V/V,Submitted,2015-12-08 22:34,Jerry Gumede,23427821
Unit: 05,[761],275587,1,HMDM - HMD MILLS,U5 E MILL HYDRAULIC OIL TANK LEVEL LOW AND GC CONST NOTIFIED ON SITE,03-05NM50G - LOESCHE MILL 5E HYDRAULIC SYSTEM,Submitted,2015-12-17 14:01,Ndivhuwo Mbedzi,23437194
Unit: 05,[761],274985,2,EMF - EMD UNIT 4-6,U5 C MILL BREAKER AMP GAUGE IN THE MV ROOM IS NOT READING ANY AMPS WHEN THE MILL IS RUNNING. EMD TO ,03-05BG001B001 - MILL 5C (05NM30D001) VAC CONTR,Submitted,2015-12-11 00:39,Ndivhuwo Mbedzi,23430386
Unit: 05,[761],275498,2,HMDM - HMD MILLS,5D  MILL  PF  DISTRIBUTION  BOX  NO 6 AND 8  PF  IS LEAKING.,03-05NM40S005MR02 - MILL 5D DISTRIBUTION BOX,Submitted,2015-12-16 05:53,Jerry Gumede,23435514
Unit: 05,[761],275666,1,CIB - C&I UNITS 4 - 6 SECT,U5 C & I TO BLOW THROUGH E MILL PA FLOW TX,03-05NM50 - MILL 5E,Submitted,2015-12-18 07:40,Ndivhuwo Mbedzi,23437806
Unit: 05,[761],273965,1,HMDM - HMD MILLS,U5 D MILL MOTOR DE BRG OIL LEVEL VERY LOW AND GC CONST NOTIFIED ON SITE,03-05NM40 - MILL 5D,Submitted,2015-11-30 01:45,Ndivhuwo Mbedzi,23417021
Unit: 05,[761],274020,1,CIB - C&I UNITS 4 - 6 SECT,C&I TO CHECK MILL C HYDRAULIC LVL LOW ALAM - SUSTAINED.,03-05NM30L001 - MILL 5C HYD SYSTEM OIL TANK LEVEL SWITCH,Submitted,2015-11-30 13:56,ML Ramonedi,23417784
Unit: 05,[761],274057,1,HMDM - HMD MILLS,CALL OUT:MILL E ROCKER NO 3 LEAKING OIL GC TO REPAIR,03-05NM50 - MILL 5E,Submitted,2015-11-30 17:54,ML Ramonedi,23418055
Unit: 05,[761],274159,1,HMDM - HMD MILLS,MILL 5D HAVE PF LEAK ON ROLLER 3,03-05NM40 - MILL 5D,Submitted,2015-12-02 05:28,Daniel Mashego,23419621
Unit: 05,[761],274192,1,CIB - C&I UNITS 4 - 6 SECT,C&I TO ASSIST WITH MILL D SEC AIR DAMPER - TRIPPING.,03-05NM40 - MILL 5D,Submitted,2015-12-02 13:44,ML Ramonedi,23420634
Unit: 05,[761],274211,1,EMA - EMD ACTUATORS,D3 SECONDARY AIR DAMPER CLUTCH HANDLE BROKEN - TO BE REPLACED.,03-05NM40 - MILL 5D,Submitted,2015-12-02 15:50,ML Ramonedi,23420889
Unit: 05,[761],274246,1,CIB - C&I UNITS 4 - 6 SECT,C&I CALLED OUT TO CHECK E MILL SEC AIR E1 FAILS TO DRIVE,03-05NM50 - MILL 5E,Submitted,2015-12-03 01:24,Present Vilakazi,23421194
Unit: 05,[761],274356,1,HMDM - HMD MILLS,E MILL HYDRAULIC OIL TANK LEVEL VERY LOW,03-05CB063B001 - MILL 5E HYDRAULIC SYS 05NM50D007,Submitted,2015-12-04 05:53,Present Vilakazi,23422602
Unit: 05,[761],274400,2,HMDM - HMD MILLS,"5E  MILL ROLLER  NO 2 AND 3  ROW  COAL, END  PF IS  LEAKING  VERY,VERY BAD THE ROLLER  ARM  ARA  COV",03-05NM50G006MR03 - MILL 5E RAW COAL PIPE,Submitted,2015-12-04 10:31,Jerry Gumede,23423529
